name,email,phone,country,town_city,district,street_address,postcode,order_notes
Kiel,kcarmen0@blogger.com,581-944-9982,Afghanistan,’Unābah,Oil &amp; Gas Services,241 Artisan Trail,1215,"Fragile, Handle with care"
Eloisa,eshowell1@google.co.uk,803-877-2503,Afghanistan,Surkh Bilandī,JReport,59 Dawn Park,1215,"Fragile, Handle with care"
Palmer,prait2@si.edu,633-347-2331,Afghanistan,Khadīr,BTLS,75 School Crossing,1215,"Fragile, Handle with care"
Kaycee,kbonas3@bigcartel.com,940-309-9054,Afghanistan,Dehī,Lymphedema,8435 Grayhawk Pass,1215,"Fragile, Handle with care"
Johann,jvittore4@yale.edu,742-564-9614,Afghanistan,Pāshmūl,XCOM,700 Northfield Street,1215,"Fragile, Handle with care"
Noreen,ntucker5@phpbb.com,498-104-3311,Afghanistan,Bala Murghab,Risk Assessment,7513 Michigan Park,1215,"Fragile, Handle with care"
Petronia,ptoderbrugge6@webmd.com,135-176-1112,Afghanistan,Ḩājī Khēl,OODBMS,88232 Haas Road,1215,"Fragile, Handle with care"
Osbert,overzey7@joomla.org,240-451-9524,Afghanistan,Surkh Bilandī,Clinical Trials,37 Crownhardt Alley,1215,"Fragile, Handle with care"
Holly,helfe8@cmu.edu,623-649-3183,Afghanistan,Sangar Sarāy,QlikView,75475 Northridge Point,1215,"Fragile, Handle with care"
Clare,cpellamonuten9@biglobe.ne.jp,115-456-4685,Afghanistan,Kabul,RRC,53563 Forest Run Avenue,1215,"Fragile, Handle with care"
Ulrikaumeko,ulicciardelloa@trellian.com,914-257-4521,Afghanistan,Amānzī,GFS,83 Dennis Avenue,1215,"Fragile, Handle with care"
Charline,ccretneyb@blogger.com,312-369-6255,Afghanistan,Chakaray,Amazon S3,9 Dixon Trail,1215,"Fragile, Handle with care"
Justin,jdurekc@webnode.com,397-460-2137,Afghanistan,Khanabad,General Surgery,29330 Elgar Crossing,1215,"Fragile, Handle with care"
Ferrell,fnapthined@google.de,123-508-1808,Afghanistan,Khānaqāh,OS/390,024 Union Parkway,1215,"Fragile, Handle with care"
Roslyn,rliversagee@illinois.edu,326-437-1524,Afghanistan,Karukh,Kinect,20848 Fieldstone Way,1215,"Fragile, Handle with care"
Pierrette,psanchisf@howstuffworks.com,945-428-8435,Afghanistan,Khadīr,MS Excel Pivot Tables,3 Tony Pass,1215,"Fragile, Handle with care"
Ilaire,icottamg@apache.org,966-901-5893,Afghanistan,Pachīr wa Āgām,CQT,12190 Waubesa Avenue,1215,"Fragile, Handle with care"
Garth,gmarteh@columbia.edu,283-522-0376,Afghanistan,Jurm,Market Risk,1697 Bonner Road,1215,"Fragile, Handle with care"
Pansie,pcrightoni@gravatar.com,711-173-6601,Afghanistan,Chakaray,Kinesiology,549 Glacier Hill Terrace,1215,"Fragile, Handle with care"
